,barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw,category,ai_guess,groundtruth
975,Malagasang I-B,,PH0402109057,Imus City,PH0402109,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2543677599,Malagasang I-B,Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
2065,Pandeno,,PH0403429013,Siniloan,PH0403429,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.7264402099,Pandeno,Other,Other,Other
259,Zamora,,PH0301412025,City of Meycauayan,PH0301412,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.1860826452,Zamora,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians","Filipino heroes - e.g. Rizal, Bonifacio, Aguinaldo, Mabini, Del Pilar, Luna, Sakay, GomBurza"
2797,Barangay 536,,PH1303901536,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01563552153,Barangay 536,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
631,Aniban I,,PH0402103002,Bacoor City,PH0402103,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2635914817,Aniban I,Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
2781,Barangay 520,,PH1303901520,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0373584275,Barangay 520,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2955,Barangay 715,,PH1303901715,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.005366628915,Barangay 715,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
313,San Isidro I,,PH0301416009,Paombong,PH0301416,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3662457211,San Isidro I,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
2660,Barangay 399,,PH1303901399,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0156864293,Barangay 399,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1250,San Miguel I,,PH0402118042,Silang,PH0402118,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09898289221,San Miguel I,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
