barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,helper,category,ai_guess,barangay_raw,groundtruth,Checked?,match category-ai guess,match ai-groundtruth,Notes
Barangay 62-B,Kangkong B,PH0402105084,Cavite City,PH0402105,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2863984633,,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay 62-B (Kangkong B),"Administrative Boundaries - barangay, district, zone except Poblacion",TRUE,TRUE,TRUE,
Burol,,PH0402106003,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.066709516,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Burol,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Langkaan I,,PH0402106005,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,8.212508227,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Langkaan I,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Paliparan I,,PH0402106008,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.685489895,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Paliparan I,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Sabang,,PH0402106010,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.601736563,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Sabang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Salawag,,PH0402106011,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,19.27991141,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Salawag,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Salitran I,,PH0402106012,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.132363527,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Salitran I,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Sampaloc I,,PH0402106013,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.566721899,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Sampaloc I,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
San Agustin I,,PH0402106014,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.718183604,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Agustin I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Jose,,PH0402106015,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.681331304,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Zone I,,PH0402106016,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.23987353,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Zone I (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",TRUE,FALSE,TRUE,
Zone II,,PH0402106017,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09179010432,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Zone II (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",TRUE,FALSE,TRUE,
Zone III,,PH0402106018,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.651900217,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Zone III (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",TRUE,FALSE,TRUE,
Zone IV,,PH0402106019,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.6887512049,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Zone IV (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",TRUE,FALSE,TRUE,
Datu Esmael,Bago-a-ingud,PH0402106020,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1290633791,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Datu Esmael (Bago-a-ingud),"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,TRUE,
Emmanuel Bergado I,,PH0402106021,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1107882679,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Emmanuel Bergado I,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,TRUE,
Fatima I,,PH0402106022,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1778412663,Duplicate,Other,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Fatima I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,FALSE,TRUE,
Luzviminda I,,PH0402106023,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1259645286,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Luzviminda I,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,FALSE,"Luzon, Visayas, Mindanao"
Saint Peter I,,PH0402106024,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0486181875,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Saint Peter I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Andres I,,PH0402106025,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.05254797066,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Andres I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Antonio de Padua I,,PH0402106026,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09235506732,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Antonio de Padua I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Dionisio,Barangay 1,PH0402106027,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1242303547,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Dionisio (Barangay 1),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Esteban,Barangay 4,PH0402106028,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.08216179037,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Esteban (Barangay 4),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Francisco I,,PH0402106029,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0593538126,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Francisco I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Isidro Labrador I,,PH0402106030,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.093468798,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Isidro Labrador I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Juan,San Juan I,PH0402106031,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07337376735,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Juan (San Juan I),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Lorenzo Ruiz I,,PH0402106032,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0655928148,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Lorenzo Ruiz I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Luis I,,PH0402106033,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07710809599,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Luis I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Manuel I,,PH0402106034,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1065608282,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Manuel I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Mateo,,PH0402106035,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1028649969,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Mateo,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Miguel,,PH0402106036,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07028375116,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Miguel,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Nicolas I,,PH0402106037,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.03974712822,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Nicolas I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Roque,Santa Cristina II,PH0402106038,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.04117676842,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Roque (Sta. Cristina II),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Simon,Barangay 7,PH0402106039,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1616065773,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Simon (Barangay 7),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Cristina I,,PH0402106040,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0572833221,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cristina I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Cruz I,,PH0402106041,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1310398187,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cruz I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Fe,,PH0402106042,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09301657912,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Fe,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Lucia,San Juan II,PH0402106043,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1375898387,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Lucia (San Juan II),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Maria,Barangay 20,PH0402106044,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.145302717,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Maria (Barangay 20),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santo Cristo,Barangay 3,PH0402106045,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1042993514,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Cristo (Barangay 3),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santo Nino I,,PH0402106046,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0529013677,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Niño I,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Burol I,,PH0402106047,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.12995347,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Burol I,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Burol II,,PH0402106048,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3614826483,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Burol II,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Burol III,,PH0402106049,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.527813002,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Burol III,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Emmanuel Bergado II,,PH0402106050,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.04611627694,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Emmanuel Bergado II,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,TRUE,
Fatima II,,PH0402106051,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09558935959,Duplicate,Other,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Fatima II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,FALSE,TRUE,
Fatima III,,PH0402106052,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0868156451,Duplicate,Other,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Fatima III,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,FALSE,TRUE,
Langkaan II,,PH0402106053,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,6.352409005,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Langkaan II,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Luzviminda II,,PH0402106054,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1231898031,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Luzviminda II,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Paliparan II,,PH0402106055,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.715529569,,Other,Other,Paliparan II,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,FALSE,
Paliparan III,,PH0402106056,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,6.312413656,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Paliparan III,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Saint Peter II,,PH0402106057,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07324863039,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Saint Peter II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Salitran II,,PH0402106058,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.424738762,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Salitran II,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Salitran III,,PH0402106059,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.8858223356,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Salitran III,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,FALSE,
Salitran IV,,PH0402106060,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.7780829,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Salitran IV,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Sampaloc II,,PH0402106061,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,5.867870825,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Sampaloc II,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
Sampaloc III,,PH0402106062,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.144614399,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Sampaloc III,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
Sampaloc IV,,PH0402106063,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.168184043,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Sampaloc IV,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
Sampaloc V,,PH0402106064,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1128690344,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Sampaloc V,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
San Agustin II,,PH0402106065,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.388447939,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Agustin II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Agustin III,,PH0402106066,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.4566531353,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Agustin III,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Andres II,,PH0402106067,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.06291014031,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Andres II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Antonio de Padua II,,PH0402106068,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.05390934508,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Antonio de Padua II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Francisco II,,PH0402106069,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.06246624449,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Francisco II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Isidro Labrador II,,PH0402106070,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.04434589344,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Isidro Labrador II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Lorenzo Ruiz II,,PH0402106071,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07816678887,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Lorenzo Ruiz II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Luis II,,PH0402106072,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.08173944182,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Luis II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Manuel II,,PH0402106073,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.03819567769,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Manuel II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Miguel II,,PH0402106074,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.02939693337,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Miguel II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Nicolas II,,PH0402106075,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1708383103,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Nicolas II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Cristina II,,PH0402106076,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.05011637871,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cristina II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Cruz II,,PH0402106077,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.04058775831,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cruz II,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
