barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,helper,category,ai_guess,barangay_raw,groundtruth,Checked?,match category-ai guess,match ai-groundtruth,Notes,factchecked_category
Tambubong,,PH0301422032,San Rafael,PH0301422,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.780698569,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Tambubong,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,True,True,,Place
Tukod,,PH0301422033,San Rafael,PH0301422,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.742068898,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Tukod,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Ulingao,,PH0301422034,San Rafael,PH0301422,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.164060846,,Other,Other,Ulingao,Other,True,True,True,,Other
Sapang Pahalang,,PH0301422035,San Rafael,PH0301422,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.150273299,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Sapang Pahalang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Bagbaguin,,PH0301423001,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.582628825,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bagbaguin,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Balasing,,PH0301423002,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.73867878,,Other,Other,Balasing,Other,True,True,True,,Other
Buenavista,,PH0301423003,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.19523559,Duplicate,Descriptive,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Buenavista,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,True,,Descriptive/Adjective
Bulac,,PH0301423004,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.733749167,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Bulac,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Camangyanan,,PH0301423005,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.668862454,,Other,Other,Camangyanan,Other,True,True,True,,Other
Catmon,,PH0301423006,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.619882456,Duplicate,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Catmon,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Cay Pombo,,PH0301423007,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.608265288,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Cay Pombo,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,False,,Geographic
Caysio,,PH0301423008,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.715511149,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Caysio,Other,True,True,False,,Other
Guyong,,PH0301423009,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.470583139,,Other,Other,Guyong,Other,True,True,True,,Other
Lalakhan,,PH0301423010,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4838222313,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Lalakhan,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Mag-asawang Sapa,,PH0301423011,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.306475915,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Mag-asawang Sapa,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Mahabang Parang,,PH0301423013,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.341790406,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Mahabang Parang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Manggahan,,PH0301423014,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.114230306,Duplicate,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Manggahan,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Parada,,PH0301423015,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.446254053,Duplicate,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Parada,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,False,False,,Place
Poblacion,,PH0301423016,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.585274111,Duplicate,Poblacion (Town Proper),"Town Proper - Poblacion, Central references",Poblacion,"Town Proper - Poblacion, Central references",True,True,True,,Town Proper
Pulong Buhangin,,PH0301423017,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,13.80957395,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Pulong Buhangin,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
San Gabriel,,PH0301423018,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.822687416,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Gabriel,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
San Jose Patag,,PH0301423019,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.935528577,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose Patag,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
San Vicente,,PH0301423020,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.468527654,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Vicente,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Clara,,PH0301423021,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.78650687,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Sta. Clara,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Cruz,,PH0301423022,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.555094776,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Sta. Cruz,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Silangan,,PH0301423023,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.548361202,Duplicate,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Silangan,"Directional - North, South, East, West, Upper, Lower, or related names",True,False,True,,Directional
Tabing Bakod,,PH0301423024,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.061724804,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Tabing Bakod,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Tumana,,PH0301423025,Santa Maria,PH0301423,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.519244986,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Tumana,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Bayabas,,PH0301424001,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,31.21904561,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Bayabas,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Kabayunan,,PH0301424002,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,151.472682,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Kabayunan,Other,True,True,False,,Other
Camachin,,PH0301424003,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,232.8134346,,Other,Other,Camachin,Other,True,True,True,,Other
Camachile,,PH0301424004,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,39.31004344,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Camachile,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Kalawakan,,PH0301424005,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,349.1222134,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Kalawakan,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Pulong Sampalok,,PH0301424006,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,14.77619358,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Pulong Sampalok,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Talbak,,PH0301424007,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,24.61950967,,Other,Other,Talbak,Other,True,True,True,,Other
Sapang Bulak,,PH0301424008,Doña Remedios Trinidad,PH0301424,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,132.1577021,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Sapang Bulak,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Amuyong,,PH0402101001,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.995181169,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Amuyong,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,False,False,,Fruits/Plants
Barangay I,,PH0402101002,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1060319226,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay I (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay II,,PH0402101003,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1845826284,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay II (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay III,,PH0402101004,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3121124224,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay III (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay IV,,PH0402101005,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3882114743,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay IV (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay V,,PH0402101006,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3918487067,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay V (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Buck Estate,,PH0402101007,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.027815831,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Buck Estate,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",True,True,False,,Other Persons
Esperanza Ibaba,,PH0402101008,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.049752977,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Esperanza Ibaba,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,False,False,Hope in Spanish,Religious
Kaytitinga I,,PH0402101009,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.421695492,,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Kaytitinga I,Other,True,False,False,,Other
Luksuhin,,PH0402101010,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.401705277,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Luksuhin,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Mangas I,,PH0402101011,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.621597881,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Mangas I,Other,True,True,False,,Other
Marahan I,,PH0402101012,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.146098278,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Marahan I,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,False,,Descriptive/Adjective
Matagbak I,,PH0402101013,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.440649351,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Matagbak I,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Pajo,,PH0402101014,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.208445896,Duplicate,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Pajo,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Sikat,,PH0402101016,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.703283585,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Sikat,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Sinaliw Malaki,,PH0402101017,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.542993619,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Sinaliw Malaki,Other,True,False,False,Sinaliw?,Other
Sinaliw na Munti,,PH0402101018,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.187030426,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Sinaliw na Munti,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Sulsugin,,PH0402101019,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.69981606,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Sulsugin,Other,True,False,False,,Other
Taywanak Ibaba,,PH0402101020,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.536894941,,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Taywanak Ibaba,Other,True,False,False,,Other
Taywanak Ilaya,,PH0402101021,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.722875056,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Taywanak Ilaya,Other,True,True,False,,Other
Upli,,PH0402101022,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.703312114,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Upli,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Kaysuyo,,PH0402101023,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,8.437532629,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Kaysuyo,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Luksuhin Ilaya,,PH0402101024,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.17233242,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Luksuhin Ilaya,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Palumlum,,PH0402101025,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.306201368,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Palumlum,Other,True,False,False,,Other
Bilog,,PH0402101026,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.406901029,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bilog,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Esperanza Ilaya,,PH0402101027,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.137739076,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Esperanza Ilaya,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Kaytitinga II,,PH0402101028,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.491156043,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Kaytitinga II,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,From tingga - metal that is cold,Descriptive/Adjective
Kaytitinga III,,PH0402101029,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.14231958,,Other,Other,Kaytitinga III,Other,True,True,True,,Other
Mangas II,,PH0402101030,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.502297376,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Mangas II,Other,True,True,False,,Other
Marahan II,,PH0402101031,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.592669452,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Marahan II,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,False,,Descriptive/Adjective
Matagbak II,,PH0402101032,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.192038053,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Matagbak II,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,False,decayed?,Descriptive/Adjective
Santa Teresa,,PH0402101033,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.080292381,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Teresa,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Banaybanay,,PH0402102001,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.143738763,Duplicate,Other,Other,Banaybanay,Other,True,True,True,,Other
Bucal,,PH0402102002,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.812169472,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Bucal,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Dagatan,,PH0402102003,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.371958649,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Dagatan,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Halang,,PH0402102004,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.071929888,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Halang,"Directional - North, South, East, West, Upper, Lower, or related names",True,False,False,,Directional
Loma,,PH0402102005,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.395853008,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Loma,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Maitim I,,PH0402102007,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.630943232,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Maitim I,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Maymangga,,PH0402102008,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.438136863,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Maymangga,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Minantok Kanluran,,PH0402102009,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.433177626,,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Minantok Kanluran,Other,True,False,False,,Other
Pangil,,PH0402102010,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.882142073,Duplicate,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Pangil,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Barangay I,,PH0402102011,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3173554485,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay I (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay X,,PH0402102012,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.02033822093,,Other,Other,Barangay X (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,True,False,,Administrative Boundaries
Barangay XI,,PH0402102013,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1539027228,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay XI (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay XII,,PH0402102014,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.8449975992,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay XII (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay II,,PH0402102015,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.02627975975,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay II (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
Barangay III,,PH0402102016,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.0413068558,Duplicate,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Barangay III (Pob.),"Administrative Boundaries - barangay, district, zone except Poblacion",True,False,True,,Administrative Boundaries
